ID,new_set,0,1,2,3,4,5,6,7,8,9
1,pseudoNPs,1.3761142396157964,-0.9224046251727626,0.7448349434251439,-0.9992853218387492,-0.03789452024091306,-1.3274533053090907,-0.8082298383418439,-0.25750902554476085,0.19609550944321094,-0.654692779670343
2,pseudoNPs,3.0433176247082243,-1.4725621664381294,3.172796556706456,-1.305450598224279,1.8272469967027432,0.8029094934690184,-0.1148674158610198,0.8724477829455349,-0.04979709693806836,-0.08093068760947164
3,pseudoNPs,1.839154248220625,-1.298977566819486,1.5194692792972468,-0.9602355530289693,1.8797507975763426,0.07518180187974852,-0.8571579278994067,-1.1802287168564882,-0.08751240482535821,-0.8927366766971893
4,pseudoNPs,2.776356158972687,-1.552958109646374,2.9990051943175784,-1.249698806519233,1.7766959891151832,0.8267690443210063,0.015668350513020946,0.9272279128123105,-0.031249011580957973,0.013586371634081489
5,pseudoNPs,5.264278622781464,-1.9078316282912982,5.637681647936144,-1.6662827347570253,5.5301013689113185,4.4163379586044185,0.6046956860669813,1.1654785063911044,-0.7393902401183536,0.6893176493929666
6,pseudoNPs,3.9601705031150143,0.557367331581524,-0.5120679418842649,0.22593627135521302,0.20493273686139543,-1.0071799728770492,-2.1070408843471964,-0.17039762466703975,0.1681414351421676,-0.12155939869039645
7,pseudoNPs,3.102210948221095,-0.030894892022982602,-0.14510986588588823,-0.9183738005675122,0.34878336205077376,-1.4508885299229435,-1.0081608471747041,-0.11379564742562563,-0.23166313591253765,-0.7814708375526891
8,pseudoNPs,5.478078199080411,-0.8704367430724347,4.482031736096053,-1.9349213569601633,0.12232945194438821,-1.1986366751902036,0.42406092180824145,3.8306447350147366,0.19876920533265682,0.7910250638650481
9,pseudoNPs,3.378642557050527,-2.010443588579175,4.026389171589454,-1.3136494100057372,3.6897384977591003,2.1266484807205037,-0.09260155328338139,-0.06128313265142522,-0.32802859386987876,-0.4013152597560902
10,pseudoNPs,3.378642557050527,-2.010443588579175,4.026389171589454,-1.3136494100057372,3.6897384977591003,2.1266484807205037,-0.09260155328338139,-0.06128313265142522,-0.32802859386987876,-0.4013152597560902
11,pseudoNPs,3.0433176247082243,-1.4725621664381294,3.172796556706456,-1.305450598224279,1.8272469967027432,0.8029094934690184,-0.1148674158610198,0.8724477829455349,-0.04979709693806836,-0.08093068760947164
12,pseudoNPs,3.126683221593737,-1.2448165480476148,2.925401161997764,-1.184821052697751,0.3972241577782409,-1.7138452540537978,-0.07781091680783449,1.9915818544189974,0.6715632294535726,-0.3285334267200927
