ID,dataset,NPR1,NPR2
DB00035,drugbank,0.23803764442958458,0.8783672420825571
DB00114,drugbank,0.21218825405612554,0.8662062594053306
DB00118,drugbank,0.1982169565401093,0.8849075268658528
DB00116,drugbank,0.06923881053241733,0.9713102098205583
DB00119,drugbank,0.3745629055382209,0.6392603651481177
DB00117,drugbank,0.3269134079228585,0.8775130768451332
DB00123,drugbank,0.23581598888394098,0.9109127527470924
DB00120,drugbank,0.3125498482228546,0.8831474919178658
DB00122,drugbank,0.40302715063709804,0.962977192960274
DB00121,drugbank,0.19431533836566625,0.8934676871940239
DB00125,drugbank,0.13937527050710807,0.9492640879537395
DB00126,drugbank,0.390887372493598,0.8275788352361911
DB00128,drugbank,0.2500952111216915,0.915822765040317
DB00129,drugbank,0.30624158711662947,0.919124756735623
DB00130,drugbank,0.27505646337868433,0.9191806849722849
DB00131,drugbank,0.280970237064733,0.8048573454732528
DB00135,drugbank,0.24399426018003573,0.9076616718552196
DB00134,drugbank,0.2838928657743873,0.9130579208026165
DB00132,drugbank,0.12725648268397724,0.9335423945920214
DB00127,drugbank,0.09301047002696429,0.98273195950251
DB00136,drugbank,0.12525796358026678,0.9178846149982705
DB00133,drugbank,0.35122239748346207,0.9662960907523233
DB00139,drugbank,0.17357207498288985,0.87928770463781
DB00140,drugbank,0.44800404980745767,0.6215585237130157
DB00137,drugbank,0.037440243284879736,0.9909550506800668
DB00138,drugbank,0.1922688467141099,0.9392642710991618
DB00142,drugbank,0.2767143502940627,0.9450566291984169
DB00143,drugbank,0.23474137899775552,0.8720984024314639
DB00145,drugbank,0.37690044737957085,0.8000855569626588
DB00148,drugbank,0.3675085665639412,0.7713860571995291
DB00146,drugbank,0.1099196970131385,0.9345675534239377
DB00147,drugbank,0.41109094923501527,0.646058464077755
DB00149,drugbank,0.3779003871819248,0.907620266508334
DB00141,drugbank,0.3699983267763271,0.8372583866868889
DB00150,drugbank,0.30251756248340395,0.8389715197873706
DB00144,drugbank,0.5956283381257392,0.8269567736281589
DB00152,drugbank,0.25185902556347717,0.9762392660158843
DB00151,drugbank,0.24280446017819843,0.9534964832242201
DB00153,drugbank,0.1172308899972634,0.9327146170293334
DB00156,drugbank,0.5934471206833796,0.851248808528591
DB00154,drugbank,0.07223575643740592,0.9663130832140967
DB00155,drugbank,0.1615955993821442,0.9188909818111937
DB00159,drugbank,0.1295594019249984,0.9378747855257593
DB00157,drugbank,0.2800996490444037,0.8684740211608839
DB00161,drugbank,0.42235041008455926,0.8145885548528
DB00160,drugbank,0.5330356935767907,0.9912465785437875
DB00162,drugbank,0.09192486519356532,0.9535505942723298
DB00165,drugbank,0.41188212040164024,0.6783618873452114
DB00166,drugbank,0.1181328019574151,0.9666103230254588
DB00167,drugbank,0.4268292237676517,0.8691918182436817
DB00158,drugbank,0.07894402782760453,0.9754527898563258
DB00163,drugbank,0.09898530980539196,0.9658241871535018
DB00169,drugbank,0.16747853604051188,0.9588126078079522
DB00172,drugbank,0.29035493788720934,0.9608724047606351
DB00173,drugbank,0.4052071729494267,0.5947928271692754
DB00170,drugbank,0.37188218677201124,0.6312838675614123
DB00171,drugbank,0.18665234911347323,0.9198154911507597
DB00174,drugbank,0.25343254807918575,0.9125931474763271
DB00168,drugbank,0.37929681191086845,0.8200551544682328
DB00175,drugbank,0.4083142728683969,0.8385657523443303
DB00176,drugbank,0.23698108646222923,0.807072620649182
DB00178,drugbank,0.5475146913267477,0.7005518473058626
DB00179,drugbank,0.12488844341226897,0.9702283800855259
DB00177,drugbank,0.3164228243243,0.8979136367423031
DB00181,drugbank,0.2845968609764478,0.8747699978686234
DB00180,drugbank,0.2666138444497221,0.9290076451975676
DB00182,drugbank,0.2225991084417774,0.909221593482786
DB00184,drugbank,0.27436621654106885,0.9408851987802168
DB00183,drugbank,0.37500553829471467,0.7770039494330746
DB00185,drugbank,0.3288385421204815,0.9051704525396473
DB00186,drugbank,0.5689750429666879,0.6054668456012802
DB00187,drugbank,0.08176256562490385,0.9585544027679506
DB00190,drugbank,0.3070695349941683,0.9012202158010107
DB00188,drugbank,0.2689868516716832,0.8756275524907261
DB00191,drugbank,0.2533029611382804,0.9065422090968026
DB00192,drugbank,0.32370667280178106,0.8702623566908264
DB00193,drugbank,0.48184601376872804,0.8271202884095946
DB00195,drugbank,0.12932174854821074,0.9421654560527047
DB00196,drugbank,0.3800543013986487,0.8147620650938199
DB00194,drugbank,0.23522322968076317,0.9100774703424409
DB00198,drugbank,0.3143698051759656,0.7774503298354191
DB00189,drugbank,0.3295879145539847,0.9000412817791132
DB00199,drugbank,0.43882876046099156,0.7288743698857606
DB00201,drugbank,0.4045615637779921,0.6041677162964235
DB00202,drugbank,0.12278895594640843,0.9716950397777318
DB00203,drugbank,0.37293463584731973,0.8359188372394293
DB00197,drugbank,0.12261826289776608,0.951002485931175
DB00204,drugbank,0.05553623810634232,0.9849807844952362
DB00205,drugbank,0.1983739503750517,0.8861040934340858
DB00208,drugbank,0.25858546690321454,0.9526203502352537
DB00207,drugbank,0.43306214808128146,0.7133408079547906
DB00206,drugbank,0.3012719206662784,0.8906881867482606
DB00209,drugbank,0.3239575673987571,0.9009962511476627
DB00210,drugbank,0.16480710932016962,0.8846466856287967
DB00212,drugbank,0.32116992573536907,0.8111117976677675
DB00213,drugbank,0.20413411417492686,0.8909714424193274
DB00215,drugbank,0.5273050236854113,0.7054172442374561
DB00211,drugbank,0.1929713575920985,0.8637348408584103
DB00218,drugbank,0.19786661478811784,0.8657794736614092
DB00217,drugbank,0.2632938819468182,0.8996478311244669
DB00214,drugbank,0.5344038999239266,0.7775932606351854
DB00221,drugbank,0.3789982530228199,0.8467367689519535
DB00219,drugbank,0.3317855609102916,0.8387466689728766
DB00223,drugbank,0.22722313850772144,0.9163498801091166
DB00216,drugbank,0.2372567566173191,0.8591006659298326
DB00222,drugbank,0.24564581861534823,0.8808190673514641
DB00224,drugbank,0.2583506378542555,0.8209908020997775
DB00225,drugbank,0.36885684066546964,0.8723773402358811
DB00226,drugbank,0.14135962589840936,0.9658735852190704
DB00228,drugbank,0.28475214010473365,0.9035184931435786
DB00220,drugbank,0.5688821192469535,0.8173116717593083
DB00230,drugbank,0.5058803279770797,0.6727131329711774
DB00229,drugbank,0.22561949163388806,0.8775054692180295
DB00231,drugbank,0.5671503131323635,0.6350942685499379
DB00227,drugbank,0.3894644987569117,0.7166871025332089
DB00232,drugbank,0.23868138208766668,0.8293797639995315
DB00233,drugbank,0.2561775481478414,0.7438224518631669
DB00234,drugbank,0.5027916209572506,0.7522375495473291
DB00236,drugbank,0.11092215148138405,0.9550256808028316
DB00238,drugbank,0.5201499791526362,0.7828602409899139
DB00237,drugbank,0.6134961034283469,0.9221774238246899
DB00235,drugbank,0.24275544515286682,0.8221070408542764
DB00240,drugbank,0.2543707377792732,0.8851670344420278
DB00239,drugbank,0.17639609426633893,0.9457604460621641
DB00241,drugbank,0.6133793023058359,0.8328060261969484
DB00242,drugbank,0.22281982041346662,0.8159891603749919
DB00243,drugbank,0.11265754105174941,0.960818389086392
DB00245,drugbank,0.340194289822038,0.8128062619936951
DB00246,drugbank,0.10076510985627785,0.944327879987767
DB00248,drugbank,0.32299728674088696,0.8268971550476784
DB00244,drugbank,0.32466772851725345,0.6753323424927059
DB00247,drugbank,0.16297675679481488,0.8902835690423101
DB00251,drugbank,0.17641927654507422,0.9391300738568019
DB00253,drugbank,0.2525645780224918,0.8977755290588063
DB00249,drugbank,0.3242678675650233,0.749934374011627
DB00250,drugbank,0.2980030414024609,0.8983989807259786
DB00256,drugbank,0.18845520900092733,0.957528920704754
DB00254,drugbank,0.3001285592134985,0.9365285469545279
DB00257,drugbank,0.7712242352558476,0.8950181593474832
DB00252,drugbank,0.5711288950936869,0.7080033374218614
DB00260,drugbank,0.5447546513394376,0.5957827458259035
DB00258,drugbank,0.45265799552553876,0.5806214908161185
DB00259,drugbank,0.19566767385302936,0.9219593251911292
DB00263,drugbank,0.5270940672165702,0.7357031464500534
DB00261,drugbank,0.15992227181522273,0.8412663837588182
DB00262,drugbank,0.1323800702649162,0.9204224669903783
DB00264,drugbank,0.10939376756130943,0.943257859753105
DB00265,drugbank,0.5281121391264021,0.7720211958213368
DB00266,drugbank,0.21687754828578173,0.9411774173295442
DB00267,drugbank,0.21230919299070736,0.9427223890554965
DB00270,drugbank,0.519711082510522,0.7850686863027474
DB00268,drugbank,0.3615868510029752,0.9344231863180964
DB00269,drugbank,0.33127153275287996,0.7427506327278829
DB00271,drugbank,0.5222882061533914,0.5446885630765376
