ID,dataset,NPR1,NPR2
1,pseudoNPs,0.3609471265135031,0.7308088845371492
2,pseudoNPs,0.24149926386818363,0.8393229940251377
3,pseudoNPs,0.421009264627495,0.7268574085647003
4,pseudoNPs,0.44424017048509135,0.7614358913922934
5,pseudoNPs,0.2502046273454462,0.8359507903167528
6,pseudoNPs,0.2421676459465005,0.8541696199469723
7,pseudoNPs,0.2890864595598798,0.7761844907156175
8,pseudoNPs,0.2225493930996838,0.8832936704994401
9,pseudoNPs,0.4191418011432904,0.7293489993564434
10,pseudoNPs,0.40902952182172553,0.7311405999725135
11,pseudoNPs,0.3160325132353198,0.7675505026037384
12,pseudoNPs,0.39494427993509257,0.7717768092378269
13,pseudoNPs,0.4196409695999794,0.7737155596554942
14,pseudoNPs,0.4615974349508669,0.7007310301357556
15,pseudoNPs,0.4781592273037225,0.7508540626083287
16,pseudoNPs,0.4237948638141458,0.8084103530183719
17,pseudoNPs,0.45722644528884826,0.7429822630494577
18,pseudoNPs,0.47960540813438235,0.6400049643693797
19,pseudoNPs,0.35011094093573536,0.8534089941642116
20,pseudoNPs,0.48013607307223993,0.7988671318315225
21,pseudoNPs,0.48755948925818143,0.6365237751755333
22,pseudoNPs,0.4498633590295111,0.6905374768609795
23,pseudoNPs,0.30631428809804584,0.8045930780435556
24,pseudoNPs,0.3539198395357664,0.7266064162153828
25,pseudoNPs,0.3911736036000354,0.7625998683481656
26,pseudoNPs,0.4473001553179862,0.7251317371806419
27,pseudoNPs,0.3330211313546505,0.7983160066553463
